user_key,n_rows,min_date,max_date,missing_hr_pct,missing_steps_pct
113,240599,0,183,19.18,0.0
190,181965,1,148,18.06,0.0
217,918,0,1,24.84,0.0
278,7188,10,15,20.21,0.0
294,224323,-1,183,18.98,0.0
328,8943,6,12,19.5,0.0
343,198334,0,183,18.59,0.0
398,44734,0,36,41.01,0.0
447,123147,0,91,19.03,0.0
454,10408,0,8,37.61,0.0
473,77270,0,61,47.76,0.0
514,134662,1,183,21.76,0.0
625,61218,0,50,33.97,0.0
701,154784,0,111,30.29,0.0
702,213400,0,182,19.32,0.0
748,1439,1,2,15.77,0.0
764,64085,4,54,42.56,0.0
808,83193,0,154,61.57,0.0
917,77753,1,61,44.39,0.0
939,193466,1,178,18.5,0.0
