model,subset,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,f1_mean,f1_std,brier_mean,brier_std,auc_ci_lo_mean,auc_ci_lo_std,auc_ci_hi_mean,auc_ci_hi_std
RandomForest,ENG_inhaler,0.5822,0.0792,0.2921,0.2711,0.061,0.1265,0.2045,0.0982,0.3803,0.0828,0.7761,0.12
XGBoost,ENG_inhaler,0.5588,0.0529,0.2827,0.243,0.0441,0.0985,0.2263,0.1297,0.3759,0.0818,0.7242,0.12
LightGBM,ENG_inhaler,0.554,0.0577,0.2825,0.246,0.0418,0.0934,0.2215,0.1194,0.3817,0.066,0.7265,0.1157
LightGBM,ENG_inhaler_pef,0.5531,0.0664,0.2847,0.254,0.0429,0.096,0.2329,0.1306,0.3911,0.0612,0.7221,0.1409
XGBoost,ENG_inhaler_pef,0.5486,0.0629,0.283,0.255,0.0621,0.0928,0.2334,0.1316,0.3797,0.0658,0.7145,0.1477
RandomForest,ENG_inhaler_pef,0.5481,0.0825,0.2773,0.2758,0.051,0.0937,0.2242,0.1182,0.3335,0.0997,0.7465,0.1561
RandomForest,ENG_MM_full,0.5061,0.2374,0.312,0.2866,0.2167,0.3129,0.1596,0.0468,0.2176,0.1802,0.7794,0.1774
RandomForest,MM_full,0.5051,0.2929,0.3455,0.3233,0.1504,0.2469,0.1873,0.0875,0.2541,0.2109,0.7152,0.2759
XGBoost,ENG_only,0.5035,0.0599,0.2318,0.1649,0.0416,0.0931,0.2325,0.1396,0.3261,0.0862,0.6729,0.1092
LightGBM,ENG_only,0.489,0.0523,0.2299,0.1718,0.0416,0.0931,0.2342,0.1392,0.3187,0.0633,0.6635,0.109
LightGBM,MM_inhaler_pef,0.4808,0.1873,0.253,0.0948,0.0194,0.0434,0.2405,0.1437,0.3391,0.2053,0.6839,0.1147
XGBoost,MM_inhaler_pef,0.4698,0.1714,0.2571,0.0942,0.0273,0.0611,0.2412,0.1457,0.3296,0.1844,0.6849,0.1222
RandomForest,ENG_only,0.4693,0.0611,0.2155,0.1748,0.0416,0.0931,0.2347,0.1376,0.3105,0.1024,0.644,0.1151
RandomForest,MM_inhaler_pef,0.4542,0.1724,0.2512,0.0748,0.0264,0.059,0.2474,0.1496,0.2934,0.199,0.6684,0.1349
LightGBM,MM_full,0.4529,0.1415,0.2171,0.1318,0.0416,0.0931,0.2305,0.1293,0.2199,0.1458,0.686,0.1182
XGBoost,MM_full,0.4268,0.1782,0.1986,0.1245,0.0416,0.0931,0.2341,0.1325,0.2308,0.1749,0.6829,0.1427
LightGBM,ENG_MM_full,0.4066,0.1334,0.182,0.1343,0.0416,0.0931,0.2411,0.1352,0.1902,0.1034,0.6501,0.1737
XGBoost,ENG_MM_full,0.4016,0.1526,0.1867,0.1385,0.0416,0.0931,0.2366,0.136,0.1739,0.1237,0.6807,0.16
