accuracy,precision,recall,f1,roc_auc,pr_auc,brier,auc_ci_lo,auc_ci_hi,model,seed
0.5176540109321909,0.0,0.0,0.0,0.6803076073199215,0.7605307407483602,0.40729259176222893,0.29938960425959504,0.9563916691313369,stack_avg,42
0.5176540109321909,0.0,0.0,0.0,0.680765932786507,0.7612977765288618,0.4068052248468437,0.30004250624273243,0.957033974863496,stack_weighted_val_auc,42
0.5176540109321909,0.0,0.0,0.0,0.6833175124294615,0.7651641566889831,0.4146898777842783,0.30557341264276694,0.9591847035035306,stack_LR_meta,42
0.8449714983713354,0.08235294117647059,0.0048209366391184574,0.009108653220559532,0.5131676623771486,0.17740801868136838,0.1396560623053809,0.2625672468799008,0.8040610522268185,stack_avg,43
0.8446661237785016,0.07954545454545454,0.0048209366391184574,0.00909090909090909,0.5129265497348501,0.17730061712216832,0.13967012588788036,0.2619603454138261,0.8042730469562688,stack_weighted_val_auc,43
0.8337744299674267,0.24362606232294617,0.05922865013774105,0.09529085872576178,0.49349793816196985,0.1658823199867224,0.14042041412688275,0.21927435094347772,0.8218056500730047,stack_LR_meta,43
0.7941415785191213,0.0,0.0,0.0,0.5329430261272742,0.21882711945714656,0.16608785380468213,0.4214025026068821,0.7260487842119326,stack_avg,44
0.7941415785191213,0.0,0.0,0.0,0.5336726585167426,0.21882026548242856,0.1661467885729858,0.42184422430772794,0.7253186024572061,stack_weighted_val_auc,44
0.7917005695687551,0.2,0.003952569169960474,0.007751937984496124,0.5461804655608112,0.220400223216556,0.1664021678035037,0.4198134360292227,0.7159004029905278,stack_LR_meta,44
0.8716807123549054,0.0,0.0,0.0,0.4978094355889071,0.12503559095065594,0.11616802673817754,0.397816144583386,0.5826041318067191,stack_avg,45
0.8716807123549054,0.0,0.0,0.0,0.4979421217213302,0.12510943778503325,0.11616445482159732,0.3975740495137047,0.583555065458981,stack_weighted_val_auc,45
0.8716807123549054,0.0,0.0,0.0,0.49912228236422723,0.12608866767005283,0.11528375309466152,0.39958975411561615,0.5856063321198097,stack_LR_meta,45
0.46002145391533955,0.13029081485747193,0.6427556818181818,0.21666267656212593,0.5389094606436884,0.12853527028376888,0.3158176688082785,0.41471238446963665,0.6045200239402535,stack_avg,46
0.46101163462331873,0.13051629650995097,0.6427556818181818,0.21697434667945337,0.5391286092886667,0.12846020973998362,0.31545681541290194,0.4145072170354201,0.6051952952197559,stack_weighted_val_auc,46
0.5251258354649724,0.12712300566134843,0.5262784090909091,0.20478098659665608,0.5461875164444369,0.1239091772937653,0.29813936615549425,0.4309814719961535,0.6175519110407056,stack_LR_meta,46
