feature,importance
hr_std,0.08428237369615957
night_hr_mean,0.059719011742112575
night_steps_sum,0.05950260662288993
intensity_std,0.05536964018605719
intensity_max,0.05106947906723686
steps_max,0.05063814713766213
night_active_frac,0.04509837905008498
hr_max,0.0427167954526229
day_active_frac,0.04253448110595001
hr_median,0.0388743514238234
steps_mean,0.03668121174055838
hr_missing_pct,0.03527869365095812
active_minute_frac,0.03518720779524379
activity_frac_sleep,0.03447277738713423
activity_frac_activity_high,0.03442554520917295
intensity_mean,0.03442515053441467
day_hr_mean,0.03438726384794595
hr_mean,0.03345959898632902
activity_frac_walk,0.03340649170895379
activity_frac_unknown,0.029795652565161673
day_steps_sum,0.029376266924687405
steps_sum,0.029365908138821718
activity_frac_sedentary,0.023958760950478167
hr_min,0.012609095490980245
activity_frac_running,0.008675074671704489
hr_slope,0.007964150098110894
steps_slope,0.005370770264584136
activity_frac_charging,0.005233500249065467
coverage,0.002179670955072452
observed_minutes,0.00186249431882304
n_rows_in_window,0.001129849740567361
activity_frac_not_worn,0.0009495992866324928
