threshold,input_length_days,washout_days,positive_candidates,positive_samples,positive_excluded_not_enough_history,negative_candidates,negative_samples,negative_excluded_positive_week_overlap,negative_excluded_event_overlap,negative_excluded_washout,total_samples,negative_excluded_total
2,3,0,63,59,4,1580,1529,51,0,0,1588,51
2,3,7,63,59,4,1580,1419,51,0,110,1478,161
2,3,14,63,59,4,1580,1323,51,0,206,1382,257
2,7,0,63,56,7,1517,1388,129,0,0,1444,129
2,7,7,63,56,7,1517,1290,129,0,98,1346,227
2,7,14,63,56,7,1517,1221,129,0,167,1277,296
2,14,0,63,54,9,1419,1191,228,0,0,1245,228
2,14,7,63,54,9,1419,1130,228,0,61,1184,289
2,14,14,63,54,9,1419,1067,228,0,124,1121,352
3,3,0,63,59,4,1580,1529,51,0,0,1588,51
3,3,7,63,59,4,1580,1425,51,0,104,1484,155
3,3,14,63,59,4,1580,1327,51,0,202,1386,253
3,7,0,63,55,8,1517,1388,129,0,0,1443,129
3,7,7,63,55,8,1517,1297,129,0,91,1352,220
3,7,14,63,55,8,1517,1225,129,0,163,1280,292
3,14,0,63,53,10,1419,1191,228,0,0,1244,228
3,14,7,63,53,10,1419,1134,228,0,57,1187,285
3,14,14,63,53,10,1419,1071,228,0,120,1124,348
4,3,0,63,60,3,1580,1529,51,0,0,1589,51
4,3,7,63,60,3,1580,1430,51,0,99,1490,150
4,3,14,63,60,3,1580,1331,51,0,198,1391,249
4,7,0,63,57,6,1517,1388,129,0,0,1445,129
4,7,7,63,57,6,1517,1302,129,0,86,1359,215
4,7,14,63,57,6,1517,1230,129,0,158,1287,287
4,14,0,63,55,8,1419,1191,228,0,0,1246,228
4,14,7,63,55,8,1419,1139,228,0,52,1194,280
4,14,14,63,55,8,1419,1076,228,0,115,1131,343
