sensor_tag,threshold,input_length_days,washout_days,rows,positive_rows,negative_rows,smartwatch_day_coverage_mean,smartinhaler_day_coverage_mean,peakflow_day_coverage_mean,environment_day_coverage_mean
all,2,3,0,1588,59,1529,0.7069689336691855,0.2688916876574307,0.5157430730478589,0.7256507136859782
all,2,3,7,1478,59,1419,0.6998195760036084,0.2571041948579161,0.5153360396932792,0.7162832656743345
all,2,3,14,1382,59,1323,0.7062228654124457,0.24722624216111913,0.5154365653642065,0.7163531114327062
all,2,7,0,1444,56,1388,0.7002374356944994,0.2547487138899881,0.5202809655718242,0.7218045112781954
all,2,7,7,1346,56,1290,0.698683931224793,0.24272978136276796,0.5179367437911271,0.7167268095945659
all,2,7,14,1277,56,1221,0.7019800872580827,0.23335943617854346,0.517171943170377,0.7148450609687884
all,2,14,0,1245,54,1191,0.7012621916236373,0.2390705679862306,0.525588066551922,0.7158347676419966
all,2,14,7,1184,54,1130,0.6998069498069498,0.2282215250965251,0.5223214285714286,0.7101833976833977
all,2,14,14,1121,54,1067,0.6994392761564929,0.21415827704855359,0.5203899579457117,0.7038995794571173
all,3,3,0,1588,59,1529,0.7086481947942906,0.2705709487825357,0.515952980688497,0.7273299748110831
all,3,3,7,1484,59,1425,0.7028301886792453,0.258984725965858,0.5148247978436657,0.7192273135669364
all,3,3,14,1386,59,1327,0.7087542087542088,0.24939874939874937,0.5149110149110149,0.7190957190957191
all,3,7,0,1443,55,1388,0.7017127017127017,0.256014256014256,0.5211365211365211,0.7223047223047223
all,3,7,7,1352,55,1297,0.7016060862214707,0.2442941673710904,0.5177514792899407,0.7184065934065934
all,3,7,14,1280,55,1225,0.7044642857142858,0.23493303571428567,0.5172991071428571,0.7158482142857142
all,3,14,0,1244,53,1191,0.7026871841984382,0.24087046394120346,0.5272163527790538,0.7158934313275149
all,3,14,7,1187,53,1134,0.7021302202431099,0.2299313996870863,0.5231074738235647,0.7107955229269467
all,3,14,14,1124,53,1071,0.7020208439247585,0.21612862226741228,0.5212252160650738,0.704753431621759
all,4,3,0,1589,60,1529,0.71071953010279,0.27291797776379273,0.5166771554436753,0.7289700020977553
all,4,3,7,1490,60,1430,0.7053691275167785,0.26129753914988807,0.5165548098434005,0.721923937360179
all,4,3,14,1391,60,1331,0.7112389168463934,0.25161754133716746,0.5147375988497483,0.7205847112389168
all,4,7,0,1445,57,1388,0.7041028175976273,0.2590212555610479,0.5219970341077607,0.7240731586752348
all,4,7,7,1359,57,1302,0.7045096184169031,0.24724061810154527,0.5193945127719962,0.7204877536003363
all,4,7,14,1287,57,1230,0.7075147075147075,0.23787323787323786,0.5167055167055167,0.7169497169497169
all,4,14,0,1246,55,1191,0.7055147901857373,0.24421004356798895,0.5285484980509059,0.7178972712680578
all,4,14,7,1194,55,1139,0.7054917444364681,0.23307011246709738,0.5240488155061019,0.7125508494855229
all,4,14,14,1131,55,1076,0.7055702917771884,0.21946444360237463,0.5215359353290389,0.7060123784261715
